Kode Item,Nama Item,Kelompok,Family,Original Code,Color,Kode Material,Deskripsi Material,Kode Motif,Deskripsi Motif
10Q-NH,QUILTING BUSA NATURAL HITAM,KAIN,-,,,10Q,QUILTING BUSA,10Q-NH,QUILTING BUSA NATURAL HITAM
133,BORDER PARTY BEAR 100%C L.240,KAIN,-,133,,-,-,-,-
17000 (MAKLOON),Kain Putih / Intitek L=2.4m,KAIN,-,,,-,-,-,-
17001,SPINOSA A / CTL,KAIN,-,,MTF BG,CTL,COTTON TENCEL LINEN,17001,SPINOSA A/BC
17002,SPINOSA B / CTL,KAIN,-,,MTF KTK,CTL,COTTON TENCEL LINEN,17002,SPINOSA B/BC
17003,OLEANDER A / CTL,KAIN,-,,MTF BG,CTL,COTTON TENCEL LINEN,17003,OLEANDER A/BC
17004,OLEANDER B / CTL,KAIN,-,,MTF RST,CTL,COTTON TENCEL LINEN,17004,OLEANDER B/BC
17005,CLEMATIS A / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17005,CLEMATIS A/BC
17006,CLEMATIS B / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17006,CLEMATIS B/BC
17007,ALMOND BLOSSOM A / BT,KAIN,-,,,BT,BAMBOO TENCEL,17007,ALMOND BLOSSOM A/BT
17008,ALMOND BLOSSOM B / BT,KAIN,-,,,BT,BAMBOO TENCEL,17008,ALMOND BLOSSOM B/BT
17009,ROSE A / TL6,KAIN,-,,,TL6,TENCEL 60S,17009,ROSE A/TL6
17010,ROSE B / TL6,KAIN,-,,,TL6,TENCEL 60S,17010,ROSE B/TL6
17011,STERLING A / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17011,STERLING A/CTL
17012,STERLING B / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17012,STERLING B /CTL
17013,APPLE BLOSSOM A / CTL,KAIN,-,,MTF BG PNL,CTL,COTTON TENCEL LINEN,17013,APPLE BLOSSOM A/CTL
17014,APPLE BLOSSOM B / CTL,KAIN,-,,MTF BG,CTL,COTTON TENCEL LINEN,17014,APPLE BLOSSOM B/CTL
17015,TWILIGHT A / TL4,KAIN,-,,,TL4,TENCEL 40S,17015,TWILIGHT A/TL4
17016,TWILIGHT B / TL4,KAIN,-,,,TL4,TENCEL 40S,17016,TWILIGHT B/TL4
17017,CELERY A / TL4,KAIN,-,,,TL4,TENCEL 40S,17017,CELERY A/TL4
17018,CELERY B / TL4,KAIN,-,,,TL4,TENCEL 40S,17018,CELERY B/TL4
170185,COTTON 01 190/215cm L=185,KAIN,-,,WHITE,CT,COTTON,170185,COTTON PUTIH 01 190/215
17019,LUFINA O / TL6,KAIN,-,,PLS RED,TL6,TENCEL 60S,17019,POLOSAN LUFINA O/TL6
170190,COTTON 190/215cm Putih L=190,KAIN,-,,PUTIH,CT,COTTON,170190,COTTON PUTIH 190/210
17020,POLOSAN BEIGE / TL6,KAIN,-,,BEIGE,TL6,TENCEL 60S,17020,POLOSAN BEIGE/TL6
17021,MOCCA(TL6-PLS),KAIN,-,,PLS MOCCA,TL6,TENCEL 60S,17021,POLOSAN MOCCA/TL6
17022,VERVAIN A / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17022,VERVAIN A/CTL
17023,VERVAIN B / CTL,KAIN,-,,,CTL,COTTON TENCEL LINEN,17023,VERVAIN B/CTL
17024,NEVAN A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17024,NEVAN A/M8
17025,NEVAN B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17025,NEVAN B/M8
17026,MARBELA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17026,MARBEL A/M8
17027,MARBELA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17027,MARBEL B/M8
17028,TAWNY A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17028,TAWNY A/M8
17029,TAWNY B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17029,TAWNY B/M8
17030,FLAVCENS A / M10,KAIN,-,,,M10,MICROTEX 350 TC,17030,FLAVCENS A/F
170300,POLOS PUTIH China L=300 240TC,KAIN,-,,PUTIH,CT,COTTON,170300,POLOS PUTIH CHINA 240 TC
17031,FLAVCENS B / M10,KAIN,-,,,M10,MICROTEX 350 TC,17031,FLAVCENS B/F
17032,BLARNEY A / M10,KAIN,-,,,M10,MICROTEX 350 TC,17032,BLARNEY A/F
17033,BLARNEY B / M10,KAIN,-,,,M10,MICROTEX 350 TC,17033,BLARNEY B/F
17034,ECLIPSE A / M10,KAIN,-,,,M10,MICROTEX 350 TC,-,-
17035,ECLIPSE B / M10,KAIN,-,,,M10,MICROTEX 350 TC,17035,ECLIPSE B/F
17036,Celon ax,RM-KAIN,-,,,-,-,17036,---
17036B,Celon Bx,RM-KAIN,-,,,-,-,-,-
17037,POLOSAN FANTA (CELON) / M10,KAIN,-,,,M10,MICROTEX 350 TC,17037,POLOS FANTA/F
17038,POLOSAN LIGHT FANTA (CELON) / M10,KAIN,-,,,M10,MICROTEX 350 TC,17038,POLOS LG. FANTA/F
17039,DIMITY A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17039,DIMITY A/M8
17040,DIMITY B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17040,DIMITY B/M8
17041,ADELPHA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17041,ADELPHA A/M8
17042,ADELPHA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17042,ADELPHA B/M8
17043,NAURA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17043,NAURA A/C
17044,NAURA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17044,NAURA B/C
17045,CHUSE A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17045,CHUSE A/C
17046,CHUSE B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17046,CHUSE B/C
17047,OTNIEL A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17047,OTNIEL A/C
17048,OTNIEL B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17048,OTNIEL B/C
17049,MIMOSA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17049,MIMOSA A/C
17050,MIMOSA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17050,MIMOSA B/C
17051,SAPHIRA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17051,SAPHIRA A/C
17052,SAPHIRA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17052,SAPHIRA B/C
17053,AIRLA A / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17053,AIRLA A/TLF
17054,AIRLA B / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17054,AIRLA B/TLF
17055,CALIPSO A / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17055,CALIPSO A/TLF
17056,CALIPSO B / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17056,CALIPSO B/TLF
17057,ADMETA A / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17057,ADMETA A/TLF
17058,ADMETA B / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17058,ADMETA B/TLF
17059,CELANDIA A / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17059,CELANDIA A/TLF
17059B,CELANDIA Bx,KAIN,-,,,-,-,17059,CELANDIA A/TLF
17060,CELANDIA B / TLF,KAIN,-,,,TLF,TENCEL FEEL (TENCEL POLY),17060,CELANDIA B/TLF
17061,DRAKEN / M10,KAIN,-,,,M10,MICROTEX 350 TC,17061,DRANKEN/F
17062,AKANTHA / M10,KAIN,-,,,M10,MICROTEX 350 TC,17062,AKANTHA/F
17063,NIMA / M10,KAIN,-,,,M10,MICROTEX 350 TC,17063,NIMA/F
17064,BAHAN PUTIH UTK VILLA CANELLA,KAIN,-,,PUTIH,CVC,CVC,17064,POLYCOTTON LIGHT FABRIC
17067,CYNTHIA A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17067,CYNTHIA A/C
17068,CYNTHIA B / M8,KAIN,-,,,M8,MICROTEX 300 TC,17068,CYNTHIA B/C
17069,MILANE A / M8,KAIN,-,,,M8,MICROTEX 300 TC,17069,MILANE A/C
